,start_station_name,end_station_name,count,index_x,lat_x,lng_x,index_y,lat_y,lng_y
118,6 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,18.0,6 St & Grand St,40.74437858646239,-74.03447839868532,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
119,7 St & Monroe St,14 St Ferry - 14 St & Shipyard Ln,36.0,7 St & Monroe St,40.74642493639741,-74.0380286862046,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
120,8 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,104.0,8 St & Washington St,40.74598271979199,-74.02816823278691,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
121,9 St HBLR - Jackson St & 8 St,14 St Ferry - 14 St & Shipyard Ln,60.0,9 St HBLR - Jackson St & 8 St,40.74793281278844,-74.03841112969273,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
122,Adams St & 11 St,14 St Ferry - 14 St & Shipyard Ln,29.0,Adams St & 11 St,40.75086734758054,-74.03356182037257,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
123,Adams St & 2 St,14 St Ferry - 14 St & Shipyard Ln,19.0,Adams St & 2 St,40.73979841179733,-74.03689012302054,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
124,Bergen Ave & Sip Ave,14 St Ferry - 14 St & Shipyard Ln,3.0,Bergen Ave & Sip Ave,40.73104361248367,-74.06443169597715,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
125,Bloomfield St & 15 St,14 St Ferry - 14 St & Shipyard Ln,48.0,Bloomfield St & 15 St,40.75450461099914,-74.02657712307197,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
126,Brunswick & 6th,14 St Ferry - 14 St & Shipyard Ln,2.0,Brunswick & 6th,40.72602894617706,-74.0503929030257,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
127,Brunswick St,14 St Ferry - 14 St & Shipyard Ln,4.0,Brunswick St,40.72414786663121,-74.05066483953951,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
128,Christ Hospital,14 St Ferry - 14 St & Shipyard Ln,2.0,Christ Hospital,40.73478751985362,-74.0504451350773,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
129,Church Sq Park - 5 St & Park Ave,14 St Ferry - 14 St & Shipyard Ln,55.0,Church Sq Park - 5 St & Park Ave,40.742657893537604,-74.03224963376663,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
130,City Hall,14 St Ferry - 14 St & Shipyard Ln,2.0,City Hall,40.717730294069206,-74.04387749609651,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
131,City Hall - Washington St & 1 St,14 St Ferry - 14 St & Shipyard Ln,91.0,City Hall - Washington St & 1 St,40.73733143020761,-74.03099042544189,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
132,Clinton St & 7 St,14 St Ferry - 14 St & Shipyard Ln,37.0,Clinton St & 7 St,40.7454153433474,-74.03333382214838,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
133,Clinton St & Newark St,14 St Ferry - 14 St & Shipyard Ln,20.0,Clinton St & Newark St,40.73744627151288,-74.03570246500215,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
